"","video","bigram","n","tf","idf","tf_idf"
"1","ZDK1aCqqZkQ","kã o",364,0.000452615846031032,2.30258509299405,0.00104218649992394
"2","ZDK1aCqqZkQ","o kã",363,0.000451372395904573,2.30258509299405,0.00103932335019888
"3","EhW-B2udhQw","jim battersbee",47,0.00042598702099119,2.30258509299405,0.000980871364343256
"4","fA5sGtj7QKQ","webe free",297,0.00038956746206636,2.30258509299405,0.000897012230869525
"5","fA5sGtj7QKQ","giant sloth",254,0.000333165438938907,2.30258509299405,0.000767141773201546
"6","m0sY2tjmr","bob judd",60,0.000322135543899021,2.30258509299405,0.000741744501305415
"7","OwqIy8Ikv-c","wrong wrong",728,0.00094566578508446,0.693147180559945,0.000655485572683301
"8","EhW-B2udhQw","tony collyweston",41,0.000371605699162528,1.6094379124341,0.000598076300708753
"9","UGqcweY1a3I","big gav",50,0.000364497904137051,1.6094379124341,0.000586636745920941
"10","UGqcweY1a3I","gav 74",49,0.00035720794605431,1.6094379124341,0.000574904011002522
"11","fA5sGtj7QKQ","à à",176,0.000230854792335621,2.30258509299405,0.000531562803478237
"12","oYhCQv5tNsQ","oyhcqv5tnsq amp",167,0.000329662303411709,1.6094379124341,0.000530571009411157
"13","fA5sGtj7QKQ","man farts",174,0.000228231442422716,2.30258509299405,0.000525522317075075
"14","OwqIy8Ikv-c","ragnaar minnesota",247,0.000320850891367942,1.6094379124341,0.000516389588805841
"15","fA5sGtj7QKQ","man hunts",170,0.000222984742596907,2.30258509299405,0.000513441344268751
"16","EhW-B2udhQw","philip shehan",35,0.000317224377333865,1.6094379124341,0.000510552939629423
"17","NYoOcaqCzxo","rick kooi",110,0.000729791412345417,0.693147180559945,0.000505852859864086
"18","m0sY2tjmr","dan pena",99,0.000531523647433385,0.916290731874155,0.000487030191915157
"19","fA5sGtj7QKQ","ff industries",160,0.000209867993032383,2.30258509299405,0.000483238912252943
"20","NYoOcaqCzxo","no views",43,0.000285282097553208,1.6094379124341,0.000459143823540857
"21","EhW-B2udhQw","b2udhqw amp",22,0.000199398180038429,2.30258509299405,0.000459131276926631
"22","m0sY2tjmr","sally and",36,0.000193281326339413,2.30258509299405,0.000445046700783249
