id	UGqcweY1a3I
published	2015-09-03 18:14:31
published_unix	1441304071
title	Lord Christopher Monckton - Global Warming is a Hoax
description	Lord Christopher Monckton shares his thoughts on climate change and why we should be questioning it.
channelId	UCNdVhGg0-TkkzWf9Gl0djow
channelTitle	ideacity
duration	PT21M56S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	297681
likeCount	6278
dislikeCount	605
favoriteCount	0
commentCount	2673
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
